path,label,class_id,split,split_original,source_type,source_group,shiny,sha256,width,height,mode
data/raw/poketwo-data/images/460.png,abomasnow,460,train,train,official_reference,official_460,0,35e6d88c5a2880ada6c7bc671505b71f3c8c3be03d4ca2d7d8ad65c5a43ea86e,475,475,RGBA
data/raw/poketwo-data/shiny/460.png,abomasnow,460,train,train,official_reference,official_460,1,fdaaca48290658c3581bc15bbb7b768257686d03d2b43dd4b1c8dff40fc8b04e,475,475,RGBA
data/raw/poketwo-data/images/359.png,absol,359,train,train,official_reference,official_359,0,d5f012424889ed5b0dac60bce76501288dba92676b4866dc323875077f6fd0ad,475,475,RGBA
data/raw/poketwo-data/shiny/359.png,absol,359,train,train,official_reference,official_359,1,ee608a188dd4d61d4189834c4b4e84bcf1ddf0491207c6ab041c7bc2ecae7fca,475,475,RGBA
data/raw/poketwo-data/images/617.png,accelgor,617,train,train,official_reference,official_617,0,68284bd4f91b12a66dafe3835e85471ce937383f14d38500f51e1aa0ec78bfa7,475,475,RGBA
data/raw/poketwo-data/shiny/617.png,accelgor,617,train,train,official_reference,official_617,1,bfe610943e5bf8c00770651b31e7ef5b8062cb82c74f47b6d9e392219ef4772f,475,475,RGBA
data/raw/poketwo-data/images/10026.png,aegislash-blade,10026,train,train,official_reference,official_10026,0,77f821e10dfce9e3e6045be6e6e546f2d35dfb42e1cace33d34f8522e430b1de,475,475,RGBA
data/raw/poketwo-data/shiny/10026.png,aegislash-blade,10026,train,train,official_reference,official_10026,1,b66a0b84f377a47e9fe3fec3c149f12c3a035ab5df4ce5560f2bf68183588040,475,475,RGBA
data/raw/poketwo-data/images/190.png,aipom,190,train,train,official_reference,official_190,0,3a673dc851c844099c16d113e12e942f69b40af8cfec9a8b45034070e76983c7,475,475,RGBA
data/raw/poketwo-data/shiny/190.png,aipom,190,train,train,official_reference,official_190,1,b610a6215da7e8bebba00ec18bde4f8d54a10938b6345da0d07945979195abc8,475,475,RGBA
data/raw/poketwo-data/images/10398.png,alcremie-vanilla-cream-berry-sweet,10398,train,train,official_reference,official_10398,0,41e1c6ee55c0c540a28f4c53f5d9625422b66a5f3bb80d9e5382b68232f9feca,475,475,RGBA
data/raw/poketwo-data/shiny/10398.png,alcremie-vanilla-cream-berry-sweet,10398,train,train,official_reference,official_10398,1,64cb72aaa9b8805bed288811fe683f01b18d7336e13fc7c8e0ca5a5c1fb7f409,475,475,RGBA
data/raw/poketwo-data/images/10425.png,alcremie-vanilla-cream-clover-sweet,10425,train,train,official_reference,official_10425,0,8b36cab44173b98f1c925da35bce7599af043ce2e5f267d136dd59fe045454a8,475,475,RGBA
data/raw/poketwo-data/shiny/10425.png,alcremie-vanilla-cream-clover-sweet,10425,train,train,official_reference,official_10425,1,cf694f5d09e17230768a0d59a79bf117808b0f123dfbd5f33505afa8c1b29e03,475,475,RGBA
data/raw/poketwo-data/images/10434.png,alcremie-vanilla-cream-flower-sweet,10434,train,train,official_reference,official_10434,0,fdb4d78ece2341a2a465a39d2502db3ebc6619fd29e07f294ebd1fccea6706e3,475,475,RGBA
data/raw/poketwo-data/shiny/10434.png,alcremie-vanilla-cream-flower-sweet,10434,train,train,official_reference,official_10434,1,aacedbe21c11bcad060d45dbce94af48297e3746f51f7dcb6b0cf46cc973d55e,475,475,RGBA
data/raw/poketwo-data/images/10407.png,alcremie-vanilla-cream-love-sweet,10407,train,train,official_reference,official_10407,0,2e077122a94a5f923b85eb5bd433df86458a13f2bb0191dd9ae22ff137f71a64,475,475,RGBA
data/raw/poketwo-data/shiny/10407.png,alcremie-vanilla-cream-love-sweet,10407,train,train,official_reference,official_10407,1,20a09940849a657fa38cd8dc64d36e9a60eb296caeefdf95a6595dc5c6b040e1,475,475,RGBA
data/raw/poketwo-data/images/10443.png,alcremie-vanilla-cream-ribbon-sweet,10443,train,train,official_reference,official_10443,0,146c22fcd56f59e8352935840a5cde5d12e623521d5e7bdd85be816f3b52fb4d,475,475,RGBA
data/raw/poketwo-data/shiny/10443.png,alcremie-vanilla-cream-ribbon-sweet,10443,train,train,official_reference,official_10443,1,4e09f5e89e470d6baa529a58a05b0bf07d769d95154b122a58568c1f08b62f9c,475,475,RGBA
data/raw/poketwo-data/images/10416.png,alcremie-vanilla-cream-star-sweet,10416,train,train,official_reference,official_10416,0,6759e130fcfe12ad43b593da7bbe2d7de47b7035337c1621e3608b835d67f898,475,475,RGBA
data/raw/poketwo-data/shiny/10416.png,alcremie-vanilla-cream-star-sweet,10416,train,train,official_reference,official_10416,1,f08440c2cdce55306bee39c8c45dd18921ad43f771e5c037cca16305811d111e,475,475,RGBA
data/raw/poketwo-data/images/869.png,alcremie-vanilla-cream-strawberry-sweet,869,train,train,official_reference,official_869,0,cc9e0a3f88833aaaecbadc25051dd02b57792cded9d44cd6aae908f72ab91106,475,475,RGBA
data/raw/poketwo-data/shiny/869.png,alcremie-vanilla-cream-strawberry-sweet,869,train,train,official_reference,official_869,1,6c52500b54f5d301eff0c2dbee523e244d5854e614d3ed5885d56f7744c9b6cb,475,475,RGBA
