path,pokemon_id,pokemon_name,slug,form,shiny,enabled,catchable,sha256,width,height,mode
data/raw/poketwo-data/images/0.png,0,MissingNo.,missingno,,0,1,1,eec84d4bc24148c95dfd5bb76bb40e6dc2e97e9d0b0beea00027179b1bed6c87,475,475,RGBA
data/raw/poketwo-data/images/1.png,1,Bulbasaur,bulbasaur,,0,1,1,1c4d2122a267f8618cb76c9e31c85ce694e1d06d9ce2ec87bc86677d3d217ac5,475,475,RGBA
data/raw/poketwo-data/images/10.png,10,Caterpie,caterpie,,0,1,1,b5df5a15e4838cfb702963dd9be816e00f02632f3cd7dfc3f784ac22cea7af97,475,475,RGBA
data/raw/poketwo-data/images/100.png,100,Voltorb,voltorb,,0,1,1,99261b2f88e42182be4781e6f815f225a35a1c04607734e5b20c87fc4caa5e8a,475,475,RGBA
data/raw/poketwo-data/images/1000.png,1000,Gholdengo,gholdengo,,0,1,1,3856481b30b36a41406a644c2c0d0381f385e4553cf629a950ffeed4c95efc2f,475,475,RGBA
data/raw/poketwo-data/images/10001.png,10001,Attack Deoxys,deoxys-attack,1,0,1,1,d796924712930eaeb1c2ea6f0429c461f3e6621712ab759ab59f636073a77abd,475,475,RGBA
data/raw/poketwo-data/images/10002.png,10002,Defense Deoxys,deoxys-defense,1,0,1,1,de786f58fa34f340a5c5c0ece0373f948f87afa562d79cdf9613255e4b4dad04,475,475,RGBA
data/raw/poketwo-data/images/10003.png,10003,Speed Deoxys,deoxys-speed,1,0,1,1,26f4749be98662878ec0ca487b6a25c4b5ba75a88120dffb04bfe84e5511a684,475,475,RGBA
data/raw/poketwo-data/images/10004.png,10004,Sandy Wormadam,wormadam-sandy,1,0,1,1,00927363352ffa636398b22234240a86712baba77b7905a2000de8d7c2c6d57a,475,475,RGBA
data/raw/poketwo-data/images/10005.png,10005,Trash Wormadam,wormadam-trash,1,0,1,1,989ffd5279196fb73119a721a794cf34eb1fdce5ae9b0611f1463c5184b45794,475,475,RGBA
data/raw/poketwo-data/images/10008.png,10008,Heat Rotom,rotom-heat,1,0,1,1,7beb511865026c1aac523783f51a260c09b67342d2e65f4f274d8b8306abd1e7,475,475,RGBA
