path,reasons
data/raw/kaggle/extracted/test/banette/1746385252.jpg,source_group_cross_split
data/raw/kaggle/extracted/test/bayleef/1746383752.jpg,source_group_cross_split
data/raw/kaggle/extracted/test/pikachu/1745782488.jpg,exact_duplicate
data/raw/kaggle/extracted/train/ampharos/1746217977.jpg,exact_duplicate
data/raw/kaggle/extracted/train/armarouge/1746383752.jpg,source_group_cross_split
data/raw/kaggle/extracted/train/armarouge/1746440041.jpg,source_group_cross_split
data/raw/kaggle/extracted/train/aron/1745651406.jpg,exact_duplicate
data/raw/kaggle/extracted/train/aron/1745651406_none.jpg,exact_duplicate
data/raw/kaggle/extracted/train/arrokuda/1745593650.jpg,cross_split_near_duplicate
data/raw/kaggle/extracted/train/aurorus/1746599762.jpg,exact_duplicate
data/raw/kaggle/extracted/train/aurorus/1746599762_none.jpg,exact_duplicate
data/raw/kaggle/extracted/train/avalugg/1745595638.jpg,exact_duplicate
data/raw/kaggle/extracted/train/axew/1745595466.jpg,exact_duplicate
data/raw/kaggle/extracted/train/baltoy/1745657999.jpg,source_group_cross_split
data/raw/kaggle/extracted/train/barboach/1745609308.jpg,source_group_cross_split
data/raw/kaggle/extracted/train/bellibolt/1746002803.jpg,exact_duplicate
data/raw/kaggle/extracted/train/bellibolt/1746002803_none.jpg,exact_duplicate
data/raw/kaggle/extracted/train/bellsprout/1745386500.jpg,exact_duplicate
data/raw/kaggle/extracted/train/bellsprout/1745386500_none.jpg,exact_duplicate
data/raw/kaggle/extracted/train/bergmite/1745414474.jpg,exact_duplicate
data/raw/kaggle/extracted/train/bergmite/1745420955.jpg,exact_duplicate
data/raw/kaggle/extracted/train/binacle/1746217979.jpg,exact_duplicate
data/raw/kaggle/extracted/train/chimchar/1745782587.jpg,exact_duplicate
data/raw/kaggle/extracted/train/drampa/1745420959.jpg,exact_duplicate
data/raw/kaggle/extracted/train/ekans/1745595457.jpg,exact_duplicate
data/raw/kaggle/extracted/train/flabebe/1745595635.jpg,exact_duplicate
data/raw/kaggle/extracted/train/frigibax/1745414478.jpg,exact_duplicate
data/raw/kaggle/extracted/train/goomy/1745425472.jpg,exact_duplicate
data/raw/kaggle/extracted/train/goomy/1745425472_none.jpg,exact_duplicate
data/raw/kaggle/extracted/train/pikachu/1746385252.jpg,source_group_cross_split
data/raw/kaggle/extracted/train/voltorb/1746378311.jpg,exact_duplicate
data/raw/kaggle/extracted/val/arrokuda/1746361974.jpg,cross_split_near_duplicate
data/raw/kaggle/extracted/val/axew/1745657999.jpg,source_group_cross_split
data/raw/kaggle/extracted/val/barraskewda/1746378310.jpg,exact_duplicate
data/raw/kaggle/extracted/val/bayleef/1745609308.jpg,source_group_cross_split
data/raw/kaggle/extracted/val/gossifleur/1746440041.jpg,source_group_cross_split
