path,relative_path,split_original,label,source_group,sha256,width,height,mode
data/raw/kaggle/extracted/train/10% zygarde/1745749568.jpg,kaggle/extracted/train/10% zygarde/1745749568.jpg,train,10% zygarde,1745749568,395cdab40dd34dda7a77ff0b3c6134757a8b4f2e1b5a9b097536073d786849aa,224,224,RGB
data/raw/kaggle/extracted/train/10% zygarde/1745957637.jpg,kaggle/extracted/train/10% zygarde/1745957637.jpg,train,10% zygarde,1745957637,bf2ee8f35ad1df8f2ed2dcbcad1cf88e0e13636d4d32eea83852d672428c04db,224,224,RGB
data/raw/kaggle/extracted/train/10% zygarde/1746015409.jpg,kaggle/extracted/train/10% zygarde/1746015409.jpg,train,10% zygarde,1746015409,e4841421a9360fcae246fc70f12278ed6fe052005df2f5dee743d1fafa9a9202,224,224,RGB
data/raw/kaggle/extracted/train/arctovish/1745431656.jpg,kaggle/extracted/train/arctovish/1745431656.jpg,train,arctovish,1745431656,3b0a21a519bdfe4caf262806f6f2cc8f699114455af018b898db00f172cf7864,224,224,RGB
data/raw/kaggle/extracted/train/arctovish/1745508415.jpg,kaggle/extracted/train/arctovish/1745508415.jpg,train,arctovish,1745508415,785eaf66061cce23e2f9d9766e0e85d70aee6be4c998e33a3205e09122f316ea,224,224,RGB
data/raw/kaggle/extracted/train/arctovish/1745564137.jpg,kaggle/extracted/train/arctovish/1745564137.jpg,train,arctovish,1745564137,a175cc1460b632a7e788b276931366dab3c02f97cce8df59a3fae93aa1d481ea,224,224,RGB
data/raw/kaggle/extracted/train/arctovish/1746121177.jpg,kaggle/extracted/train/arctovish/1746121177.jpg,train,arctovish,1746121177,23b9f99197644bd23312fdb8a4bdad5afb87bcfab0051a34dcb15e059b4cf06d,224,224,RGB
data/raw/kaggle/extracted/train/arctovish/1746137528.jpg,kaggle/extracted/train/arctovish/1746137528.jpg,train,arctovish,1746137528,800edde13f60f3fcde728cf923a395519b344f2c359ed6d92dd697129527de59,224,224,RGB
data/raw/kaggle/extracted/train/arctovish/1746213118.jpg,kaggle/extracted/train/arctovish/1746213118.jpg,train,arctovish,1746213118,f1902f5778344fcbbe1e96a236eeda70b4762ec4c4a5480cd96d1c7bdf8241e7,224,224,RGB
data/raw/kaggle/extracted/train/arctovish/1746214343.jpg,kaggle/extracted/train/arctovish/1746214343.jpg,train,arctovish,1746214343,3acfc2d1ab2dd2b3bcdacbe9f0dc0bee7bcf3970236187de97023dc7b32e2149,224,224,RGB
data/raw/kaggle/extracted/train/arctovish/1746256418.jpg,kaggle/extracted/train/arctovish/1746256418.jpg,train,arctovish,1746256418,ec339360555dafa076f63016eb20c9ba34b652a33f3dc4b70553f415758fb9e4,224,224,RGB
data/raw/kaggle/extracted/train/arctovish/1746382544.jpg,kaggle/extracted/train/arctovish/1746382544.jpg,train,arctovish,1746382544,c34ecc20dfd11201c57661445506f2a2c787da304f772f4c2bd06091c7b0a661,224,224,RGB
